epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,3284.67,0.73181,0.89971,1.23283,0.8904,0.76876,0.88772,0.704,0.73682,0.76707,1.15281,0.0003565,0.0003565,0.0003565
67,3335.25,0.72215,0.89946,1.22291,0.81119,0.85092,0.89196,0.70786,0.73415,0.75958,1.13742,0.0003466,0.0003466,0.0003466
68,3384.95,0.74346,0.90937,1.23799,0.8839,0.8057,0.88509,0.71285,0.73496,0.7625,1.15543,0.0003367,0.0003367,0.0003367
69,3436.77,0.72531,0.89589,1.22707,0.85223,0.82686,0.89084,0.70911,0.75055,0.79697,1.13801,0.0003268,0.0003268,0.0003268
70,3487.23,0.71269,0.90459,1.20779,0.84512,0.83524,0.89573,0.73184,0.71874,0.71974,1.13658,0.0003169,0.0003169,0.0003169
71,3539.59,0.71247,0.86883,1.20769,0.88406,0.77769,0.88935,0.73036,0.69634,0.74157,1.11384,0.000307,0.000307,0.000307
72,3589.89,0.72203,0.85188,1.21938,0.84756,0.8696,0.90612,0.72741,0.72117,0.6973,1.13376,0.0002971,0.0002971,0.0002971
73,3639.12,0.69758,0.84933,1.19555,0.87184,0.84436,0.89864,0.72278,0.72739,0.69901,1.12155,0.0002872,0.0002872,0.0002872
74,3689.12,0.71138,0.83417,1.2108,0.83219,0.84466,0.89257,0.71546,0.72646,0.74768,1.13378,0.0002773,0.0002773,0.0002773
75,3739.21,0.69571,0.85214,1.20787,0.83009,0.84952,0.90088,0.72834,0.7192,0.73898,1.12769,0.0002674,0.0002674,0.0002674
76,3790.56,0.70248,0.86565,1.20485,0.86187,0.81926,0.90737,0.74031,0.70942,0.72662,1.12584,0.0002575,0.0002575,0.0002575
77,3840.44,0.68154,0.81536,1.20417,0.86625,0.82993,0.91038,0.74636,0.71702,0.67394,1.13506,0.0002476,0.0002476,0.0002476
78,3887.68,0.69142,0.80512,1.19773,0.83836,0.8454,0.895,0.72149,0.72538,0.73409,1.1403,0.0002377,0.0002377,0.0002377
79,3936.39,0.69727,0.80673,1.21261,0.86802,0.82171,0.90016,0.72466,0.72168,0.72257,1.12853,0.0002278,0.0002278,0.0002278
80,3984.12,0.68863,0.8408,1.20489,0.86404,0.83376,0.90816,0.72888,0.71283,0.68515,1.11754,0.0002179,0.0002179,0.0002179
81,4033.36,0.66902,0.80408,1.18458,0.83484,0.86274,0.90215,0.73332,0.71868,0.69833,1.12642,0.000208,0.000208,0.000208
82,4082.27,0.66866,0.78489,1.18586,0.87628,0.81125,0.904,0.74432,0.69441,0.69594,1.11995,0.0001981,0.0001981,0.0001981
83,4130,0.67635,0.77659,1.18925,0.84751,0.84108,0.90158,0.73435,0.69112,0.70604,1.11316,0.0001882,0.0001882,0.0001882
84,4178.94,0.65638,0.79605,1.18159,0.87578,0.82734,0.91236,0.74267,0.68682,0.68735,1.08892,0.0001783,0.0001783,0.0001783
85,4226.04,0.65827,0.77368,1.17181,0.83436,0.86449,0.91494,0.74859,0.68924,0.70122,1.09313,0.0001684,0.0001684,0.0001684
86,4277.77,0.66434,0.77576,1.1827,0.84758,0.82233,0.9132,0.74691,0.68305,0.6941,1.08921,0.0001585,0.0001585,0.0001585
87,4329.88,0.66345,0.75202,1.18338,0.86742,0.83145,0.90908,0.73482,0.69752,0.68616,1.10913,0.0001486,0.0001486,0.0001486
88,4381.73,0.66605,0.75142,1.18733,0.82643,0.86244,0.90724,0.73385,0.69129,0.69555,1.09995,0.0001387,0.0001387,0.0001387
89,4434.17,0.64416,0.72919,1.16836,0.87434,0.80963,0.89893,0.73929,0.6847,0.71447,1.09729,0.0001288,0.0001288,0.0001288
90,4486.28,0.64753,0.73281,1.17729,0.85401,0.82704,0.89837,0.73328,0.68983,0.70973,1.10048,0.0001189,0.0001189,0.0001189
91,4545.52,0.45462,0.47486,1.03727,0.83682,0.86084,0.90624,0.73459,0.70525,0.68602,1.12052,0.000109,0.000109,0.000109
92,4596.44,0.45975,0.47016,1.04312,0.85824,0.81249,0.90078,0.73373,0.70136,0.6992,1.1283,9.91e-05,9.91e-05,9.91e-05
93,4647.19,0.44556,0.44551,1.00946,0.87495,0.82608,0.90619,0.73831,0.69174,0.68617,1.11326,8.92e-05,8.92e-05,8.92e-05
94,4700.01,0.44145,0.44862,1.01577,0.84007,0.84614,0.90846,0.74518,0.68403,0.69425,1.10466,7.93e-05,7.93e-05,7.93e-05
95,4750.64,0.43368,0.43389,1.0143,0.87222,0.82988,0.91593,0.75299,0.68737,0.67109,1.10354,6.94e-05,6.94e-05,6.94e-05
96,4803.43,0.42264,0.42748,1.00618,0.87456,0.85879,0.91635,0.75628,0.69261,0.67346,1.10795,5.95e-05,5.95e-05,5.95e-05
97,4855.11,0.41565,0.41819,1.00217,0.86303,0.83067,0.9083,0.74381,0.69146,0.66826,1.10916,4.96e-05,4.96e-05,4.96e-05
98,4905.65,0.41175,0.40034,1.01376,0.85526,0.84697,0.90799,0.74733,0.68441,0.66518,1.10312,3.97e-05,3.97e-05,3.97e-05
99,4956.87,0.40846,0.39692,0.99118,0.86167,0.86322,0.91137,0.75251,0.6812,0.66194,1.10122,2.98e-05,2.98e-05,2.98e-05
100,5007.75,0.41667,0.40593,0.99827,0.86526,0.86486,0.9113,0.7524,0.68029,0.65636,1.10194,1.99e-05,1.99e-05,1.99e-05
